Type,Millis,Lat,Lon,Speed_kmh,Dist_m,Sats,HDOP,Alt_m,Course_deg
IMU,73408,-344,-151,1015,-5,-3,4
IMU,73417,-339,-147,1011,-4,-4,4
IMU,73427,-331,-140,1000,-3,-4,4
IMU,73437,-322,-134,1000,-3,-5,3
IMU,73447,-314,-128,991,-4,-4,2
IMU,73457,-314,-130,991,-5,-4,0
IMU,73466,-316,-133,994,-6,-3,0
IMU,73476,-329,-134,992,-6,-3,-2
IMU,73486,-332,-140,1001,-6,-3,-3
IMU,73496,-333,-142,994,-6,-3,-4
IMU,73505,-332,-141,998,-6,-3,-4
IMU,73515,-327,-145,994,-6,-2,-4
IMU,73525,-330,-147,989,-6,-1,-4
IMU,73535,-339,-147,995,-6,0,-3
IMU,73544,-341,-146,993,-6,0,-3
IMU,73554,-340,-149,997,-7,0,-2
IMU,73564,-330,-147,1003,-7,0,-2
IMU,73574,-329,-150,1005,-7,-1,-2
IMU,73583,-333,-153,1013,-8,-1,-2
IMU,73593,-339,-156,1015,-8,-1,-2
IMU,73603,-344,-162,1027,-7,-1,-2
IMU,73613,-350,-166,1025,-6,-1,-1
IMU,73623,-350,-169,1026,-6,-2,-1
IMU,73632,-342,-168,1012,-5,-2,0
IMU,73642,-333,-171,1018,-4,-2,0
IMU,73652,-330,-168,1018,-3,-1,0
IMU,73662,-328,-160,1004,-3,0,0
IMU,73671,-331,-152,997,-3,0,0
IMU,73681,-336,-147,989,-3,0,0
IMU,73691,-342,-144,984,-4,0,0
IMU,73701,-342,-146,985,-5,0,0
IMU,73710,-341,-147,987,-5,0,0
IMU,73720,-343,-147,989,-5,0,0
IMU,73730,-345,-149,995,-5,1,0
IMU,73740,-345,-147,997,-4,0,0
IMU,73750,-346,-146,995,-4,0,0
IMU,73759,-348,-146,996,-4,0,0
IMU,73769,-351,-147,996,-4,0,0
IMU,73779,-349,-151,997,-4,0,0
IMU,73789,-349,-150,999,-3,-1,0
IMU,73798,-348,-151,995,-3,-2,0
IMU,73808,-346,-151,990,-2,-2,-1
IMU,73818,-343,-148,981,-2,-3,-1
IMU,73828,-344,-146,980,-3,-4,-2
