Type,Millis,Data1,Data2,Data3,Data4,Data5,Data6
IMU,30801,-7,751,720,-6,-2,0
IMU,30811,-27,746,711,-6,-3,0
IMU,30821,-18,748,716,-7,-4,1
IMU,30831,3,742,710,-6,-5,2
IMU,30840,18,747,727,-7,-5,2
IMU,30850,9,745,724,-7,-5,2
IMU,30860,-22,752,726,-7,-5,2
IMU,30870,-28,751,710,-7,-6,3
IMU,30879,-18,758,723,-8,-7,4
IMU,30889,-8,758,719,-7,-7,4
IMU,30899,-8,761,735,-7,-7,5
IMU,30909,-16,759,724,-7,-7,5
IMU,30918,-22,759,729,-7,-8,5
IMU,30928,-22,757,722,-7,-8,5
IMU,30938,-17,762,734,-7,-8,5
IMU,30948,-15,758,726,-7,-7,5
IMU,30958,-23,756,726,-7,-7,5
IMU,30967,-38,757,719,-7,-7,5
IMU,30977,-38,757,723,-7,-8,5
IMU,30987,-27,758,719,-7,-8,5
IMU,30997,-21,757,718,-7,-8,5
IMU,31006,-21,758,713,-7,-8,5
IMU,31016,-29,758,719,-7,-8,5
IMU,31026,-39,763,711,-8,-8,6
IMU,31036,-32,762,716,-7,-9,6
IMU,31045,-28,765,718,-8,-9,6
IMU,31055,-13,761,708,-8,-9,6
IMU,31065,-7,764,725,-8,-9,6
IMU,31075,-14,765,714,-8,-8,6
IMU,31084,-17,765,722,-8,-9,6
IMU,31094,-15,763,717,-8,-9,6
IMU,31104,-6,767,726,-7,-8,6
IMU,31114,3,768,723,-7,-8,5
IMU,31124,0,770,725,-7,-7,4
IMU,31133,-12,766,718,-7,-7,4
IMU,31143,-25,764,723,-7,-7,4
IMU,31153,-26,759,724,-7,-7,4
IMU,31163,-22,759,725,-7,-8,5
IMU,31172,-18,757,724,-7,-8,5
IMU,31182,-18,757,726,-7,-8,5
IMU,31192,-16,761,723,-7,-8,5
IMU,31202,-10,762,725,-7,-8,5
IMU,31211,-2,759,723,-7,-7,5
IMU,31221,12,757,729,-7,-7,4
IMU,31231,20,752,727,-7,-6,3
IMU,31241,54,749,749,-6,-5,2
IMU,31250,39,747,739,-6,-2,0
IMU,31260,14,750,725,-6,-2,0
IMU,31270,-8,754,715,-6,-2,-1
IMU,31280,-55,749,706,-6,-3,0
IMU,31290,-9,749,721,-7,-5,1
IMU,31299,11,746,724,-6,-5,1
IMU,31309,4,746,729,-6,-5,1
IMU,31319,-5,753,723,-6,-4,1
